TAG,MDEVICE,LOCATION,IN_TIME
5151190,DEV01,SALA5,2020-11-10 20:26:48
8402513,DEV02,SALA1,2020-11-10 20:26:47
3000,DEV07,SALA3,2020-11-10 20:26:46
1999,DEV04,SALA3,2020-11-10 20:26:44
2000,DEV05,SALA4,2020-11-10 20:26:43
2001,DEV03,SALA2,2020-11-10 20:26:42
2000,DEV05,SALA4,2020-11-10 20:26:38
2001,DEV03,SALA2,2020-11-10 20:26:37
2001,DEV03,SALA2,2020-11-10 20:24:06
2000,DEV05,SALA4,2020-11-10 20:19:00
1999,DEV04,SALA3,2020-11-10 20:18:57
2000,DEV05,SALA4,2020-11-10 20:17:08
2001,DEV03,SALA2,2020-11-10 20:17:07
3000,DEV07,SALA3,2020-11-10 20:17:00
4574082,BOMBA1,SALA7,2020-11-10 20:16:57
8402513,DEV02,SALA1,2020-11-10 20:16:57
4574063,BOMBA,SALA7,2020-11-10 20:16:52
5151190,DEV01,SALA5,2020-11-10 20:16:51
4574063,BOMBA,SALA7,2020-11-10 20:16:50
4574082,BOMBA1,SALA7,2020-11-10 20:16:45
4574063,BOMBA,SALA7,2020-11-10 20:16:41
4574082,BOMBA1,SALA7,2020-11-10 20:16:33
2001,DEV03,SALA2,2020-11-10 20:16:10
2000,DEV05,SALA4,2020-11-10 20:16:09
1999,DEV04,SALA3,2020-11-10 20:16:08
3000,DEV07,SALA3,2020-11-10 20:16:06
8402513,DEV02,SALA1,2020-11-10 20:16:05
5151190,DEV01,SALA5,2020-11-10 20:16:04
4574063,BOMBA,SALA7,2020-11-10 20:15:58
4574082,BOMBA1,SALA7,2020-11-10 20:15:52
